Name;Source Book;Src Page;Schl;Sub-school;Descriptor;Class Lvls;Adp;APeace;Arc;Artificer;Asn;Beguiler;Blg;Blk;Brd;BVal;ChamGwyn;Clr;Corrupt;Dem;Drd;Duskblade;EmBarachiel;Exalted Arcanist;HB;Hlr;Hoard;Holder;HotD;Hrp;Hth;IOTDF;KotC;MH;Pal;PUG;Rgr;Sanctified;Shu;Slayer of Domiel;Sor/Wiz;Vassal of Bahamut;Wmg;Wuj;Domn Lvls;Air;Animal;Artifice;Balance;Bestial;Blackwater;Cavern;Celerity;Celestial;Chaos;Charm;City;Cold;Commerce;Community;Competition;Corruption;Courage;Craft;Creation;Darkness;Death;Deathbound;Deathless;Decay;Demonic;Destiny;Destruction;Diabolic;Domination;Dragon;Dream;DrgBlw;Drow;Dwarf;Earth;Elf;Endurance;Evil;Exorcism;Family;Fate;Feast;Fey;Fire;Force;Glory;Gnome;Good;Greed;Halfling;Hatred;Healing;Herald;Hunger;Illusion;Inquisition;Joy;Knowledge;Law;Liberation;Life;Luck;Madness;Magic;Meditation;Mental;Metal;Mind;Moon;Mysticism;Necro;Nobility;Ocean;Oracle;Orc;Pact;Pain;Passion;Pestilence;Planning;Plant;Pleasure;Portal;Portal (alt);Protection;Purification;Renewal;Repose;Retribution;Rune;Sand;SaveLife;Scalykind;Seafolk;Shadow;Sin-A;Sin-E;Sin-G;Sin-L;Sin-P;Sin-S;Sin-W;Sky;Slime;Spell;Spider;Storm;Strength;Suffering;Summer;Summoner;Sun;Thirst;Time;Trade;Transformation;Travel;Trickery;Truth;Tyranny;Undeath;VDarkness;War;Warforged;Water;Watery Death;Wealth;Weather;Winter;Wrath;Components;Casting Time;Range;Effect Type;Effect;Duration;Saving Throw;Resistance;Short Description;Medium Description;Long Descripton
Aberrate;BV;84;Tran;;Evil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, Fiend;1 standard action;Touch;Target;One living creature;10 min./level;Fortitude negates;Yes;Subject becomes an aberration.;;
Ability Rip;SK;155;Tran;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;1 hour;Touch;Targets;Two living creatures;1 hour/level;"Fortitude negates; see text";Yes;Rips a supernatural ability from one creature and transfer it to another.;;
Ablative Armor;MoE;93;Abj;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S, M;1 minute;Touch;Target;Suit of armor touched;10 min./level;None (Object);No (object);Reduce damage from next attack by 5 + caster level (max 15).;;
Aboleth Curse;STO;112;Necr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;1 standard action;Touch;Target;Living creature touched;Permanent;Fortitude negates;Yes;Subject's skin undergoes a horrible transformation.;;
Abolish Shadows;UNA;47;Abj;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;1 standard action;30 ft.;Area;30-ft.-radius burst, centered on you;Instantaneous;"Fortitude half; see text";Yes;Shadow creatures take 1d6/level damage, shadow and darkness spells might be dispelled.;Shadow creatures take 1d6/level damage, shadow and darkness spells might be dispelled.;
Absorb Mind;BV;84;Div;;Evil;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, F, Corrupt;1 standard action;Personal;Target;You;1 min./level;;;You gain 25% chance of knowing information in a brain eaten.;;
Absorb Strength;BV;84;Necr;;Evil;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, F, Corrupt;1 standard action;Personal;Target;You;10 min./level;;;You gain 1/4 of a creature's Str and Con when he eats it.;;
Absorb Weapon;SPC;6;Tran;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S;1 standard action;Touch;Effect;One touched weapon not in another creature's possession;1 hour/level (D);Will negates (object);Yes (object);Hides a weapon inside your arm.;;
Absorption;SPC;6;Abj;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S;1 standard action;Personal;Target;You;10 min./level or until expended;;;You absorb 1d4+6 spell levels directed at you.;;
Abyssal Army;SPC;7;Conj;Summoning;Evil, Chaotic;;;;9;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S;10 minutes;Medium (100 ft. + 10 ft./level);Effect;Two or more summoned creatures, no two of which can be more than 30 ft. apart;10 min./level (D);None;No;Summons demons to fight for you.;;
Abyssal Might;BV;84;Conj;Summoning;Evil;;;;4;;;;;3;;;;4;;3;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M, Demon;1 standard action;Personal;Target;You;10 min./level;;;You gain +2 to Str, Con, Dex, and SR.;;
Accelerated Movement;SPC;7;Tran;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S, M;1 swift action;Personal;Target;You;1 round/level (D);;;Swift. Balance, Climb, Hide, Move Silently, and Tumble at normal speed with no penalty on skill check.;;
Accuracy;CAr;96;Tran;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V, S, M;1 standard action;Touch;Target;One thrown weapon/level touched or one projectile weapon touched;10 min./level;Will negates (harmless, object);Yes (harmless, object);Doubles ranged weapon's range increments.;;
